12 3
12 4
19 2
23 3
23 5
27 3
34 5
36 2
40 4
42 1
45 1
45 2
47 4
48 3
48 4
49 3
49 3
50 1
56 4
56 5
56 5
59 1
61 1
63 5
64 1
66 1
70 1
70 1
73 3
76 4
83 5
86 4
86 5
97 5
98 3
102 1
103 5
106 4
108 1
117 2
118 2
121 5
131 5
132 4
134 1
134 3
141 1
142 5
144 5
152 5
161 2
161 3
163 2
169 1
170 4
170 4
177 1
178 4
180 1
187 2
194 4
195 5
196 3
198 4
199 3
202 3
204 1
204 2
208 3
208 5
214 1
215 2
225 2
232 2
232 5
234 2
234 5
235 1
239 1
247 3
248 5
252 4
252 4
253 5
255 4
261 5
262 3
264 1
265 4
266 3
267 4
267 5
270 1
278 3
278 4
284 3
284 4
288 3
294 1
294 5
297 2
303 4
304 2
307 1
311 4
315 3
316 3
317 2
322 2
322 5
323 1
332 4
335 1
335 3
337 4
338 4
364 4
368 5
370 5
374 4
377 2
386 3
389 4
391 3
398 4
398 5
399 5
401 1
402 4
404 5
405 5
407 4
407 4
416 1
420 2
425 2
426 5
428 2
429 3
430 5
441 2
452 2
456 5
457 5
458 2
461 1
461 5
469 4
471 4
477 5
